timestamp,journal_id,player,stacks,guardian_points
1702646032,3689884652,670000c898, ABX,4,874181
1702645896,3689875102,670000c898, ABX,4,779873
1702645839,3689870967,670000c898, ABX,4,829917
1702668155,3691567633,570003c13d, Angelica,4,3542722
1702668098,3691562635,570003c13d, Angelica,4,3600039
1702668056,3691559026,570003c13d, Angelica,4,3520884
1702668001,3691554305,570003c13d, Angelica,4,3616433
1702667950,3691549749,570003c13d, Angelica,3,4134957
1702667901,3691545442,570003c13d, Angelica,4,3527685
1702667844,3691540302,570003c13d, Angelica,4,3734137
1702667775,3691534117,570003c13d, Angelica,4,3748560
1702667716,3691528827,570003c13d, Angelica,4,3714987
1702611742,3687824741,670000c898, ABX,2,1233221
1702611724,3687823775,670000c898, ABX,3,990205
1702611699,3687822568,670000c898, ABX,3,1006508
1702611391,3687807829,670000c898, ABX,4,849834
1702611119,3687794925,670000c898, ABX,4,893713
1702611082,3687793179,670000c898, ABX,4,914125
1702611013,3687789927,670000c898, ABX,4,895675
1702610970,3687787909,670000c898, ABX,4,904972
1702610925,3687785755,670000c898, ABX,4,931698
1702610879,3687783477,670000c898, ABX,4,925362
1702610450,3687762816,670000c898, ABX,1,2039474
1702610435,3687762067,670000c898, ABX,3,911222
1702610422,3687761402,670000c898, ABX,3,877824
1702610397,3687760277,670000c898, ABX,3,903890
1702610356,3687758349,670000c898, ABX,3,907885
1702610165,3687749208,670000c898, ABX,4,851949
1702610072,3687744640,670000c898, ABX,4,853666
1702609978,3687740036,670000c898, ABX,4,805888
1702609936,3687737975,670000c898, ABX,1,2141935
1702609917,3687737067,670000c898, ABX,2,1223016
1702609903,3687736359,670000c898, ABX,3,912095
1702609815,3687732142,670000c898, ABX,4,748363
1702609671,3687725099,670000c898, ABX,4,499525
1702609552,3687719269,670000c898, ABX,4,397800
1702596093,3687023650,670000c898, ABX,2,421628
1702596055,3687020828,670000c898, ABX,4,360180
1702595962,3687013935,670000c898, ABX,4,663381
1702595918,3687010663,670000c898, ABX,4,904509
1702595830,3687004312,670000c898, ABX,2,1452057
1702595817,3687003323,670000c898, ABX,3,1130655
1702595777,3687000393,670000c898, ABX,4,945624
1702595735,3686997305,670000c898, ABX,4,982923
1702595555,3686983733,670000c898, ABX,3,1167013
1702595516,3686980729,670000c898, ABX,4,1064518
1702595467,3686976907,670000c898, ABX,4,1079837
1702595432,3686974188,670000c898, ABX,4,1189601
1702595398,3686971459,670000c898, ABX,4,1216690
1702595357,3686968389,670000c898, ABX,2,1922989
1702595318,3686965369,670000c898, ABX,4,1226915
1702595199,3686956168,670000c898, ABX,4,1213077
1702595162,3686953231,670000c898, ABX,4,1203245
1702590242,3686458553,670000c898, ABX,3,1327502
1702590107,3686440465,670000c898, ABX,4,1075767
1702589967,3686421204,670000c898, ABX,4,1188560
1702589894,3686411210,670000c898, ABX,4,1218963
1702589825,3686401344,670000c898, ABX,4,1347365
1702589774,3686393983,670000c898, ABX,4,1246135
1702589726,3686386961,670000c898, ABX,4,1227838
1702589659,3686377187,670000c898, ABX,4,1290287
1702589392,3686339245,670000c898, ABX,3,1138579
1702589217,3686315136,670000c898, ABX,4,1389864
1702611729,3687824046,570003c13d, Angelica,3,4284666
