Name,4 Stack,3 Stack,2 Stack,1 Stack,4 Points,3 Points,2 Points,1 Point,Gaurdsmen,Monster,Specialists,Total Points,RFQ
Felharnia,73,15,4,1,63349870,13780357,4252464,2826359,9,8,8,84209050,0.247707105
BringOutYourDead,12,2,1,0,12136156,2095320,1658049,0,9,8,8,15889525,0.236216564
Wiktoriusss,56,11,3,1,37909593,8063796,2475424,1121281,8,8,8,49570094,0.235232578
ossian,20,6,0,0,39171317,10675683,0,0,9,9,8,49847000,0.214169017
Maverick,33,7,1,0,53312145,11812592,2679155,0,8,9,8,67803892,0.213730312
Serendipity,13,0,1,1,21320519,0,1289942,4488510,9,8,8,27098971,0.213235108
Hector,9,2,0,0,8543262,2232310,0,0,8,8,8,10775572,0.207163945
Lorlot,101,22,3,0,37534214,8065590,1074514,0,9,8,8,46674318,0.195827264
Sawbonz,23,4,1,0,81091318,14897331,4800220,0,9,9,8,100788869,0.195433793
Rosie,12,2,0,0,7065483,1208642,0,0,9,8,8,8274125,0.146074902
Arkayen,0,0,0,0,0,0,0,0,0,0,0,0,0
BBomrin,0,0,0,0,0,0,0,0,0,0,0,0,0
DaDinkette,0,0,0,0,0,0,0,0,0,0,0,0,0
HTTP Error 404,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaanef,0,0,0,0,0,0,0,0,0,0,0,0,0
Граф Дракула,2,0,0,0,3488561,0,0,0,9,9,8,3488561,0
