timestamp,journal_id,player,stacks,guardian_points
1702670529,3691765104,570003d701, Boiti,4,1513238
1702671607,3691873318,530007e999, BalaGi,3,3699436
1702667869,3691542553,570003d701, Boiti,2,2071110
1702671579,3691870724,530007e999, BalaGi,3,3646197
1702667832,3691539284,570003d701, Boiti,3,1541971
1702671522,3691865551,530007e999, BalaGi,3,3798521
1702667743,3691531312,570003d701, Boiti,3,1799805
1702671494,3691862999,530007e999, BalaGi,3,3779010
1702667680,3691525598,570003d701, Boiti,3,1791290
1702671466,3691860408,530007e999, BalaGi,3,3975193
1702667627,3691520557,570003d701, Boiti,4,1408637
1702671440,3691857932,530007e999, BalaGi,3,3758047
1702667577,3691515587,570003d701, Boiti,4,1583545
1702671399,3691854226,530007e999, BalaGi,3,3991860
1702667528,3691510759,570003d701, Boiti,4,1577541
1702671657,3691877763,5a00028bbd, BOL,2,3494506
1702671288,3691843790,530007e999, BalaGi,4,3313054
1702667452,3691502962,570003d701, Boiti,4,1590202
1702671595,3691872248,5a00028bbd, BOL,3,2753871
1702671184,3691834030,530007e999, BalaGi,4,3241358
1702667388,3691496266,570003d701, Boiti,4,1604086
1702671124,3691828059,530007e999, BalaGi,4,3373424
1702671513,3691864759,5a00028bbd, BOL,3,2709618
1702671012,3691816484,530007e999, BalaGi,4,3245099
1702671361,3691850715,5a00028bbd, BOL,4,2905739
1702664157,3691220367,570003d701, Boiti,2,2376029
1702670887,3691803499,530007e999, BalaGi,4,3179925
1702671234,3691838710,5a00028bbd, BOL,4,3099051
1702664098,3691215230,570003d701, Boiti,3,1694892
1702670765,3691790351,530007e999, BalaGi,4,3217801
1702671156,3691831333,5a00028bbd, BOL,4,3423756
1702670676,3691780585,530007e999, BalaGi,4,3364300
1702671670,3691878863,5200005f61, Brave Sir Robin,2,82470
1702671049,3691820263,5a00028bbd, BOL,4,3204966
1702664065,3691212144,570003d701, Boiti,3,1857163
1702670608,3691773392,530007e999, BalaGi,4,3173399
1702671641,3691876322,5200005f61, Brave Sir Robin,2,110582
1702670745,3691788209,5a00028bbd, BOL,4,3382278
1702670551,3691767357,530007e999, BalaGi,4,3375321
1702670663,3691779222,5a00028bbd, BOL,4,3090712
1702671556,3691868630,5200005f61, Brave Sir Robin,3,96977
1702667884,3691543901,5a00028bbd, BOL,2,3998400
1702671479,3691861557,5200005f61, Brave Sir Robin,3,99212
1702667867,3691542388,530007e999, BalaGi,2,5380806
1702663868,3691193512,570003d701, Boiti,4,997616
1702671012,3691816470,5200005f61, Brave Sir Robin,4,90144
1702667821,3691538328,5a00028bbd, BOL,3,1894300
1702663829,3691189665,570003d701, Boiti,4,920230
1702667845,3691540397,530007e999, BalaGi,3,3798087
1702670976,3691812656,5200005f61, Brave Sir Robin,4,97866
1702663679,3691175121,570003d701, Boiti,4,1074789
1702667768,3691533474,5a00028bbd, BOL,3,3122727
1702667828,3691538947,530007e999, BalaGi,3,3892357
1702670928,3691807716,5200005f61, Brave Sir Robin,4,123590
1702663628,3691169960,570003d701, Boiti,4,1100471
1702667644,3691522150,5a00028bbd, BOL,4,2978980
1702667633,3691521077,530007e999, BalaGi,4,3258849
1702670900,3691804791,5200005f61, Brave Sir Robin,4,136503
1702663596,3691166815,570003d701, Boiti,4,1076387
1702667526,3691510506,5a00028bbd, BOL,4,3005534
1702667460,3691503790,530007e999, BalaGi,4,1485863
1702670682,3691781207,5200005f61, Brave Sir Robin,4,691567
1702663531,3691160496,570003d701, Boiti,4,875668
1702667470,3691504797,5a00028bbd, BOL,4,3075553
1702667358,3691493114,530007e999, BalaGi,4,1383265
1702670626,3691775321,5200005f61, Brave Sir Robin,4,720589
1702663469,3691154386,570003d701, Boiti,4,896682
1702667333,3691490454,530007e999, BalaGi,4,1364945
1702667390,3691496501,5a00028bbd, BOL,4,2905693
1702667215,3691478238,530007e999, BalaGi,4,1453711
1702667299,3691486910,5a00028bbd, BOL,4,2890238
